,individualID,Sex,sampleAge,sampleID2,collDate,collTime,NTXnM,uMidOC_ng_ml,SpecificGravity,creatinine,DOB,Collector,Substrate,CollectComments,assayDate.x,assayDate.y,Plate_U.MidOC,assay1value,assay1cv,assay2value,assay2cv,uMidOC_SG
123,Fricka,Female,6.29,A337,3/27/2018,14:12:00,1124,27.677,1.009,2.548,12/12/2011,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.451125369
124,Fricka,Female,6.32,A376,4/6/2018,12:20:00,1069.6,5.576,1.007,NA,12/12/2011,Izzi,"LiveLeaf,",Alone but rejoined party right after (see Cannonball),6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.09106735
125,Fricka,Female,6.37,A474,4/26/2018,13:52:00,605.6,16.982,1.008,NA,12/12/2011,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.277075233
126,Fricka,Female,6.43,A530,5/18/2018,14:38:00,1940,49.445,1.018,2.9,12/12/2011,Izzi,"LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.798810944
127,Frida,Female,9.26,A492,5/6/2018,9:20:00,866.7,16.573,1.009,NA,2/1/2009,Aaron,"LiveLeaf,",,6/22/2021,11-Dec-19,1,16.573,7,NA,NA,0.270134073
129,Garbo,Female,62.07,A140,1/26/2018,13:45:00,172,0.922,1.01,2.767,1/1/1956,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,13-Dec-19,5,0.922,1.2,NA,NA,0.015013396
130,Garbo,Female,62.07,A140,1/26/2018,13:45:00,172,1.144,1.01,2.767,1/1/1956,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.018628336
131,Garbo,Female,62.22,A326,3/23/2018,14:43:00,NA,3.838,1.017,NA,1/1/1956,Izzi,"DryLeaf,",NA,NA,13-Dec-19,5,3.838,4.2,NA,NA,0.062065952
132,Garbo,Female,62.22,A326A,3/23/2018,14:43:00,427.4,3.856,1.017,4.292,1/1/1956,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.062357038
133,Garbo,Female,62.37,A525,5/17/2018,12:36:00,306.4,7.446,1.006,NA,1/1/1956,Izzi,"LiveLeaf,Log,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.121729112
