"","individualID","Sex","sampleAge","sampleID2","collDate","collTime","NTXnM","uMidOC_ng_ml","SpecificGravity","creatinine","DOB","Collector","Substrate","CollectComments","assayDate.x","assayDate.y","Plate_U.MidOC","assay1value","assay1cv","assay2value","assay2cv","NTXnM_SG"
"12","Aretha","Female",43.1,"A200","2/7/18","9:35:00",428.4,0.212,1.018,3.847,"1/1/75","Izzi","DryLeaf,LiveLeaf,","coughing/sneezing; estrus","6/20/18","6/20/18",NA,NA,NA,NA,NA,6.93257476533508
"13","Aretha","Female",43.28,"A401","4/12/18","14:41:00",334.2,1.795,1.014,2.792,"1/1/75","Izzi","DryLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,5.42951913945504
"14","Aretha","Female",43.34,"A493","5/6/18","9:55:00",196.2,0.895,1.013,2.942,"1/1/75","Izzi","LiveLeaf,","","6/20/18","13-Dec-19",5,0.895,3.3,NA,NA,3.1906740155753
"15","Aretha","Female",43.34,"A493","5/6/18","9:55:00",196.2,1.353,1.013,2.942,"1/1/75","Izzi","LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,3.1906740155753
"18","Ava","Female",8.84,"A400","4/12/18","13:40:00",1360.9,13.361,1.013,NA,"6/10/09","Izzi","DryLeaf,LiveLeaf,","Running east away from  call of westerners nearby","6/23/21","16-Dec-19",6,13.361,3.1,NA,NA,22.131438673784
"19","Baez","Female",15.1,"O088","12/8/16","13:55:00",1869,14.707,1.023,4.767,"11/1/01","Jeremy","Leaf,","7824-29 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,30.0972312733066
"20","Baez","Female",16.21,"A103","1/17/18","13:53:00",761.8,4.877,1.02,3.189,"11/1/01","Godfrey","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,12.3036416727185
"21","Baez","Female",16.24,"A148","1/28/18","9:20:00",1713.6,11.961,1.024,6.871,"11/1/01","Izzi","LiveLeaf,","Estrus","8/13/21","6/19/18",NA,NA,NA,NA,NA,27.5678168402778
"22","Baez","Female",16.24,"A148","1/28/18","9:20:00",1684.6,11.961,1.024,6.871,"11/1/01","Izzi","LiveLeaf,","Estrus","6/19/18","6/19/18",NA,NA,NA,NA,NA,27.1012746551891
"23","Baez","Female",16.32,"A274","2/25/18","16:04:00",821,7.982,1.019,3.726,"11/1/01","Izzi","DryLeaf,LiveLeaf,","Estrus","6/19/18","6/19/18",NA,NA,NA,NA,NA,13.2727786258617
"24","Baez","Female",16.4,"A335","3/27/18","13:53:00",718.6,10.421,1.013,3.074,"11/1/01","Izzi","DryLeaf,LiveLeaf,","Immediately after Wilson beat her up","8/13/21","6/19/18",NA,NA,NA,NA,NA,11.6861281732539
"25","Baez","Female",16.4,"A335","3/27/18","13:53:00",574.6,10.421,1.013,3.074,"11/1/01","Izzi","DryLeaf,LiveLeaf,","Immediately after Wilson beat her up","6/19/18","6/19/18",NA,NA,NA,NA,NA,9.34434907925366
"26","Baez","Female",16.41,"A353","3/30/18","15:43:00",1043.2,12.057,1.019,4.137,"11/1/01","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,16.8649971528611
"28","Baez","Female",16.55,"A556","5/21/18","13:50:00",401,8.403,1.007,NA,"11/1/01","Izzi","LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,6.56005952162027
"29","Bartoli","Female",34.26,"O241","4/5/17","13:50:00",441,2.958,1.014,3.643,"1/1/83","Jeremy","Leaf,","

5373-78  ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,7.16462579443349
"30","Bartoli","Female",35.04,"A101","1/17/18","11:30:00",1104.8,10.5,1.023,4.995,"1/1/83","Godfrey","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,17.7910225311659
"31","Bartoli","Female",35.07,"A145","1/27/18","11:33:00",219.9,1.904,1.007,NA,"1/1/83","Izzi","LiveLeaf,","Vial2 collected from LL and DL","6/19/18","6/19/18",NA,NA,NA,NA,NA,3.59739922395087
"32","Bartoli","Female",35.14,"A255","2/21/18","15:45:00",298,2.104,1.012,3.24,"1/1/83","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,4.85097045332553
"33","Bartoli","Female",35.16,"A297","3/2/18","14:45:00",266.1,1.477,1.007,2.604,"1/1/83","Izzi","LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,4.35319660524477
"34","Bartoli","Female",35.26,"A378","4/6/18","13:37:00",236.6,3.328,1.008,2.628,"1/1/83","Izzi","LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,3.86675883058985
"36","Beryl","Female",18.18,"201","3/8/17","13:15:00",1245.6,5.559,1.013,3.409,"1/1/99","Jeremy","Leaf,","3574 ID . Beryl was behaving somewhat strangely today. Found her alone screaming (she had been for about 30 minutes, based on when we first started hearing her from camp. She also never left the trees today, including when she was trying to keep up with the group (found her near D.5&4, then she travelled to F.5&4, finally ending north of F.5&2.5). ","6/19/18","6/19/18",NA,NA,NA,NA,NA,20.2563891631019
"37","Beryl","Female",18.18,"O203","3/8/17","15:40:00",405,1.028,1.006,NA,"1/1/99","Jeremy","V1: ground
V2: leaves","","6/19/18","6/19/18",NA,NA,NA,NA,NA,6.63208250497018
"38","Beryl","Female",19.11,"A216","2/11/18","11:24:00",2286,36.403,1.01,2.866,"1/1/99","Izzi","DryLeaf,Ground,","","6/19/18","13-Dec-19",5,36.403,2.1,NA,NA,37.2861661166117
"39","Beryl","Female",19.11,"A216","2/11/18","11:24:00",2286,59.7,1.01,2.866,"1/1/99","Izzi","DryLeaf,Ground,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,37.2861661166117
"40","Beryl","Female",19.11,"A221","2/11/18","12:29:00",993.2,9.04,1.022,4.732,"1/1/99","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,16.0095340774565
"41","Beryl","Female",19.16,"A286","3/1/18","9:55:00",380.4,2.483,1.008,2.949,"1/1/99","Izzi","Bag,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,6.21688528806585
"42","Bronte","Female",14.77,"O010","10/7/16","8:30:00",1012.2,8.412,1.014,5.392,"1/1/02","Jeremy","Leaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,16.4445220615093
"43","Bronte","Female",14.77,"O011","10/7/16","12:20:00",534.4,5.688,1.018,4.521,"1/1/02","Jeremy","Leaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,8.64791772781295
"45","Bronte","Female",16.09,"A174A","2/2/18","10:25:00",321.2,2.868,1.01,2.582,"1/1/02","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,5.23898362058428
"46","Bronte","Female",16.09,"A175","2/2/18","10:42:00",294.4,2.732,1.012,2.648,"1/1/02","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,4.79236812570146
"47","Bronte","Female",16.21,"A317","3/18/18","9:35:00",375.8,4.052,1.007,3.02,"1/1/02","Izzi","LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,6.14780640455086
"48","Bronte","Female",16.36,"A510","5/13/18","11:55:00",350.6,3.52,1.01,4.11,"1/1/02","Izzi","LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,5.71851699058795
"49","Carson","Female",23.71,"A47","12/21/17","13:00:00",1611.1,6.865,1.023,NA,"4/5/94","Izzi","DryLeaf,LiveLeaf,","No estrus","6/22/21","11-Dec-19",1,6.865,0.1,NA,NA,25.9441676321157
"50","Cate","Female",19.11,"A431","4/19/18","9:54:00",393.2,4.766,1.011,NA,"3/10/99","Charles","","","6/22/21","11-Dec-19",1,4.766,0.8,NA,NA,6.40700748556008
"51","Christine","Female",19.1,"A381","4/7/18","13:35:00",310.7,1.11,1.009,NA,"3/1/99","Izzi","LiveLeaf,","","6/23/21","11-Dec-19",1,1.201,21.2,1.11,0.2,5.07274422175727
"52","Christine","Female",19.15,"A470","4/26/18","10:33:00",743.7,4.603,1.003,NA,"3/1/99","Izzi","LiveLeaf,","","6/22/21","11-Dec-19",1,4.603,0.2,NA,NA,12.2148946678483
"53","Christine","Female",19.18,"A496","5/6/18","11:40:00",353.2,2.762,1.011,NA,"3/1/99","Izzi","LiveLeaf,","","6/22/21","11-Dec-19",1,2.762,1.1,NA,NA,5.75522645956211
"54","Denis","Female",2.63,"A26","12/2/17","12:35:00",1484,10.672,1.007,NA,"4/16/15","Aaron","LiveLeaf,","And Izzi; big party ","6/22/21","16-Dec-19",6,10.672,1,NA,NA,24.2771280051982
"55","Denis","Female",3.08,"A516","5/14/18","10:40:00",1051,7.9,1.004,NA,"4/16/15","Izzi","DryLeaf,LiveLeaf,","","6/23/21","16-Dec-19",6,7.9,2.1,NA,NA,17.2449476784221
"56","Denis","Female",3.08,"A517","5/14/18","12:16:00",730.4,0.779,1.003,NA,"4/16/15","Izzi","DryLeaf,LiveLeaf,Ground,","","6/23/21","16-Dec-19",6,0.779,13.2,NA,NA,11.9964489248305
"57","Ellen","Female",10.5,"229","8/1/16","16:10:00",2014,14.776,1.022,3.874,"2/1/06","Jacob","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,32.4639565364451
"58","Ellen","Female",10.77,"O038","11/8/16","15:05:00",3922.2,20.614,1.026,4.447,"2/1/06","Jeremy","Leaf,","Ambrose ID 
5480","6/19/18","6/19/18",NA,NA,NA,NA,NA,62.9760260991986
"59","Ellen","Female",10.99,"O135","1/27/17","11:15:24",4124.2,26.833,1.019,5.239,"2/1/06","Jeremy","Leaf,","269 ID. In estrous","6/19/18","6/19/18",NA,NA,NA,NA,NA,66.6742918499134
"60","Ellen","Female",10.99,"O136","1/27/17","13:00:00",2668.4,0.866,1.022,5.017,"2/1/06","Jeremy","Vial 1: ground leaves
Vial2: leaf","269 ID. In estrous ","6/19/18","6/19/18",NA,NA,NA,NA,NA,43.0123245391511
"61","Ellen","Female",11.09,"O192","3/4/17","15:50:00",1591.4,7.969,1.008,4.321,"2/1/06","Jeremy","Leaf,","3187 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,26.0082840363512
"62","Ellen","Female",11.23,"1125","4/24/17","9:40:04",3467.4,21.514,1.028,6.315,"2/1/06","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,55.5653056996686
"63","Ellen","Female",11.33,"1258","6/2/17","13:16:14",1319.4,4.519,1.017,3.658,"2/1/06","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,21.3721594012892
"64","Ellen","Female",11.84,"A27","12/3/17","15:12:00",787.4,6.375,1.012,3.335,"2/1/06","Aaron","DryLeaf,LiveLeaf,","Estrus 2; With Izzi ","6/19/18","13-Dec-19",5,6.375,2.9,NA,NA,12.8176313253306
"65","Ellen","Female",11.84,"A27","12/3/17","15:12:00",787.4,8.013,1.012,3.335,"2/1/06","Aaron","DryLeaf,LiveLeaf,","Estrus 2; With Izzi ","6/19/18","6/19/18",NA,NA,NA,NA,NA,12.8176313253306
"66","Ellen","Female",12.05,"A238","2/19/18","14:55:00",846.8,3.986,1.018,3.643,"2/1/06","Izzi","DryLeaf,","Estrus; also collected fecal worms","6/19/18","6/19/18",NA,NA,NA,NA,NA,13.7033247228892
"67","Ellen","Female",12.14,"A325","3/23/18","13:05:00",605.6,5.369,1.008,2.72,"2/1/06","Izzi","DryLeaf,LiveLeaf,","After Pizan chased her up tree","6/19/18","6/19/18",NA,NA,NA,NA,NA,9.89733367626887
"68","Elvira","Female",6.28,"A567","5/24/18","14:00:00",1793.5,9.531,1.022,NA,"2/13/12","Izzi","LiveLeaf,","","6/23/21","17-Dec-19",8,9.531,2.7,NA,NA,28.9096852274649
"69","Emmy.Lou","Female",12.02,"O047","11/9/16","10:20:00",1139.8,15.509,1.006,NA,"11/1/04","Jeremy","Bag,","Confirmed by Rachna","6/19/18","6/19/18",NA,NA,NA,NA,NA,18.6648089855926
"70","Emmy.Lou","Female",12.03,"580","11/13/16","15:30:00",1430.6,32.083,1.011,3.144,"11/1/04","Natasha","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,23.3109483948175
"71","Emmy.Lou","Female",12.08,"O073","12/2/16","9:00:00",866,8.659,1.003,2.493,"11/1/04","Jeremy","Bag,","7192-7200 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,14.2236100340953
"72","Emmy.Lou","Female",12.09,"O082","12/3/16","13:25:00",2470.2,19.901,1.014,3.555,"11/1/04","Jeremy","Leaf,","7438-39 ID","6/19/18","6/19/18",NA,NA,NA,NA,NA,40.1316522390241
"74","Emmy.Lou","Female",12.27,"O157.2","2/9/17","14:45:00",6253.4,17.884,1.024,5.868,"11/1/04","Jeremy","V1: ground leaves 
V2: leaves ","1032 ID ","6/19/18","6/19/18",NA,NA,NA,NA,NA,100.602582766686
"75","Emmy.Lou","Female",12.38,"O207","3/18/17","14:50:00",3265,10.477,1.02,5.074,"11/1/04","Jeremy","Ground,","3675 ID. In estrous ","6/19/18","6/19/18",NA,NA,NA,NA,NA,52.7322001331397
"76","Emmy.Lou","Female",12.41,"O235","3/29/17","13:45:00",3156.6,20.341,1.016,3.561,"11/1/04","Jeremy","Leaf,Bag,","4627 ID; In estrous","6/19/18","6/19/18",NA,NA,NA,NA,NA,51.1821731918927
"77","Emmy.Lou","Female",12.46,"1105","4/18/17","17:03:00",1936,27.815,1.021,4.409,"11/1/04","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,31.2372280867221
"78","Emmy.Lou","Female",13.19,"A67","1/9/18","9:53:00",2694.6,33.607,1.029,4.822,"11/1/04","Aaron","DryLeaf,LiveLeaf,","0; Aaron recorded 9:54","6/19/18","6/19/18",NA,NA,NA,NA,NA,43.1391723356009
"79","Emmy.Lou","Female",13.41,"A362","4/1/18","16:27:00",687.6,14.077,1.016,4.086,"11/1/04","Izzi","DryLeaf,","Estrus","6/19/18","6/19/18",NA,NA,NA,NA,NA,11.1489774715661
"80","Emmy.Lou","Female",13.45,"A413","4/15/18","15:25:00",588.8,1.864,1.01,3.187,"11/1/04","Izzi","Ground,DryLeaf,","","6/19/18","13-Dec-19",5,1.864,2.3,NA,NA,9.60371592714827
"81","Emmy.Lou","Female",13.45,"A413","4/15/18","15:25:00",588.8,3.509,1.01,3.187,"11/1/04","Izzi","Ground,DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,9.60371592714827
"82","EttaJames","Female",6.34,"1536","7/11/17","13:18:04",1284.4,16.432,1.015,2.75,"3/9/11","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,20.8462111536824
"83","EttaJames","Female",6.86,"A110","1/18/18","12:35:00",1737,28.015,1.02,3.026,"3/9/11","Aaron","DryLeaf,","Had been Ruth miliah and ? This morning ","6/19/18","6/19/18",NA,NA,NA,NA,NA,28.0538534858388
"84","EttaJames","Female",7.04,"A323","3/23/18","12:40:00",1127,19.727,1.01,2.545,"3/9/11","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,18.3821125168072
"85","EttaJames","Female",7.2,"A553","5/20/18","15:41:00",1105.4,14.608,1.011,2.632,"3/9/11","Izzi","DryLeaf,","","6/19/18","13-Dec-19",5,14.608,4.1,NA,NA,18.011968653454
"86","EttaJames","Female",7.2,"A553","5/20/18","15:41:00",1105.4,17.146,1.011,2.632,"3/9/11","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,18.011968653454
"87","EttaJames","Female",7.23,"A604","5/31/18","11:07:20",2167.2,21.94,1.019,3.171,"3/9/11","Izzi","DryLeaf,LiveLeaf,","","6/19/18","13-Dec-19",5,21.94,2.8,NA,NA,35.0362555882674
"88","EttaJames","Female",7.23,"A596","5/30/18","12:28:00",2984.4,51.995,1.025,3.717,"3/9/11","Izzi","LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,47.9651761517615
"89","EttaJames","Female",7.23,"A604","5/31/18","11:07:20",2167.2,25.263,1.019,3.171,"3/9/11","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,35.0362555882674
"90","Fisher","Female",13.19,"921","3/5/17","9:30:00",3111.8,0,1.019,5.5,"12/26/03","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,50.3072259780225
"91","Fisher","Female",13.23,"945","3/18/17","10:20:00",2597.2,0,1.016,4.816,"12/26/03","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,42.1118736026053
"92","Fisher","Female",13.24,"974","3/24/17","14:25:00",476.6,2.148,1.004,NA,"12/26/03","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,7.82011614037677
"93","Fisher","Female",13.37,"1181","5/9/17","18:05:13",1979.8,0,1.018,4.058,"12/26/03","Rebecca","","","6/19/18","6/19/18",NA,NA,NA,NA,NA,32.0380754444687
"94","Fisher","Female",13.85,"A12","10/31/17","13:00:00",2496.6,0,1.025,4.748,"12/26/03","Aaron","LiveLeaf,","Estrus 2; large party (40) during red colobus hunt ","6/19/18","6/19/18",NA,NA,NA,NA,NA,40.1252710027101
"95","Fisher","Female",13.95,"A30","12/8/17","9:00:00",1727.2,0.945,1.017,3.505,"12/26/03","Izzi","DryLeaf,LiveLeaf,","And Aaron ","6/19/18","6/19/18",NA,NA,NA,NA,NA,27.977863966884
"96","Fisher","Female",14.08,"A124","1/22/18","15:55:00",1236.6,0,1.033,6.531,"12/26/03","Izzi","DryLeaf,Ground,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,19.720676024524
"97","Fisher","Female",14.13,"A208","2/10/18","12:05:00",4565,0,1.03,7.499,"12/26/03","Izzi","DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,73.0123681529426
"98","Fisher","Female",14.13,"A213","2/11/18","8:05:00",1854.2,0.433,1.019,4.001,"12/26/03","Izzi","DryLeaf,LiveLeaf,","Small swelling","6/19/18","6/19/18",NA,NA,NA,NA,NA,29.9761097784078
"99","Fisher","Female",14.15,"A242","2/20/18","13:39:00",1530.8,0.167,1.017,3.794,"12/26/03","Izzi","DryLeaf,LiveLeaf,","Estrus","6/19/18","6/19/18",NA,NA,NA,NA,NA,24.796499629751
"100","Fisher","Female",14.19,"A304","3/4/18","9:43:00",1040.4,7.685,1.015,4.408,"12/26/03","Izzi","DryLeaf,LiveLeaf,","Estrus","6/19/18","6/19/18",NA,NA,NA,NA,NA,16.8860153256705
"101","Fisher","Female",14.3,"A403","4/13/18","12:00:00",2240.4,0.629,1.017,3.698,"12/26/03","Izzi","DryLeaf,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,36.2908791288831
"102","Fisher","Female",14.32,"A450","4/21/18","14:07:00",1041,0,1.008,2.916,"12/26/03","Izzi","Bag,LiveLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,17.0130851337449
"103","Fisher","Female",14.43,"A617","6/2/18","11:04:00",1778,0,1.022,4.936,"12/26/03","Izzi","LiveLeaf,DryLeaf,","","6/19/18","6/19/18",NA,NA,NA,NA,NA,28.6598384914595
"104","Fitzgerald","Female",49.11,"A220","2/11/18","12:28:00",746.1,1.164,1.019,NA,"1/1/69","Izzi","DryLeaf,Ground,","Estrus","6/22/21","16-Dec-19",6,1.164,4.5,NA,NA,12.0619002835024
"105","Florence","Female",17.76,"O091","12/13/16","9:15:00",373.6,0.503,1.006,NA,"3/11/99","Jeremy","Leaf,","8027 ID. In estrous","6/20/18","6/20/18",NA,NA,NA,NA,NA,6.11789141693052
"106","Florence","Female",17.88,"O134.2","1/26/17","16:15:00",1531.2,2.953,1.036,9.835,"3/11/99","Jeremy","Bag,","She had been coughing on and off. Left a natalensis at 12:30, drank water in a nearby stream, and then built a best in a different tree and was there for appx 2.5  hrs. 

0238 ID 

Vial 5: 2ml

Vial 6: 1.1ml    Vial 7: 2.0ml","6/20/18","6/20/18",NA,NA,NA,NA,NA,24.3480980980981
"107","Florence","Female",17.92,"O155","2/8/17","15:40:46",1249,1.245,1.016,4.665,"3/11/99","Jeremy","Ground,","0949 ID ","6/20/18","6/20/18",NA,NA,NA,NA,NA,20.2517057329639
"108","Florence","Female",18.02,"O211","3/19/17","12:00:00",589.6,0.552,1.018,3.958,"3/11/99","Jeremy","Ground,","3762 ID ","6/20/18","6/20/18",NA,NA,NA,NA,NA,9.54119066676369
"109","Florence","Female",18.9,"A183","2/3/18","14:05:00",785.2,4.256,1.016,5.003,"3/11/99","Lawrence","","","6/20/18","6/20/18",NA,NA,NA,NA,NA,12.7314966705551
"110","Francoise","Female",6.54,"A243","2/20/18","15:20:00",2486.7,22.541,1.018,NA,"8/8/11","Izzi","DryLeaf,LiveLeaf,","","6/22/21","16-Dec-19",6,22.541,5.2,NA,NA,40.2409749508841
"112","Francoise","Female",6.7,"A442","4/21/18","8:06:00",1088.5,14.102,1.003,NA,"8/8/11","Izzi","LiveLeaf,","","6/22/21","16-Dec-19",6,14.102,2.2,NA,NA,17.8780594943564
"113","Fricka","Female",5.99,"A32","12/8/17","13:25:00",736.8,8.236,1.007,NA,"12/12/11","Izzi","DryLeaf,","Aaron 99% sure fricka ","6/20/18","13-Dec-19",5,8.236,2.2,NA,NA,12.0534958990768
"114","Fricka","Female",5.99,"A32","12/8/17","13:25:00",736.8,10.438,1.007,NA,"12/12/11","Izzi","DryLeaf,","Aaron 99% sure fricka ","6/20/18","6/20/18",NA,NA,NA,NA,NA,12.0534958990768
"115","Fricka","Female",6.08,"A69","1/9/18","15:26:00",3111.6,66.661,1.039,3.963,"12/12/11","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,49.3356771111824
"116","Fricka","Female",6.09,"A82","1/14/18","13:52:00",1610.8,49.007,1.021,3.198,"12/12/11","Aaron","DryLeaf,","Almost positive; she was defecating in front of me and I saw this urine ","6/20/18","6/20/18",NA,NA,NA,NA,NA,25.9901482448822
"117","Fricka","Female",6.14,"A157","1/30/18","12:30:00",2951.2,63.255,1.02,4.047,"12/12/11","Izzi","DryLeaf,Ground,","","6/20/18","13-Dec-19",5,63.255,6.3,NA,NA,47.6640946502058
"118","Fricka","Female",6.14,"A157","1/30/18","12:30:00",2951.2,69.151,1.02,4.047,"12/12/11","Izzi","DryLeaf,Ground,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,47.6640946502058
"119","Fricka","Female",6.19,"A232","2/18/18","12:00:00",2243.6,23.938,1.017,3.316,"12/12/11","Izzi","DryLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,36.3427139856999
"120","Fricka","Female",6.22,"A302","3/3/18","13:34:00",296.4,2.705,1.005,NA,"12/12/11","Izzi","LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,4.85853141698913
"121","Fricka","Female",6.22,"A303","3/3/18","14:50:00",373.6,3.221,1.005,NA,"12/12/11","Izzi","LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,6.12397887107672
"122","Fricka","Female",6.29,"A336","3/27/18","13:54:00",4662.8,49.267,1.028,4.567,"12/12/11","Izzi","DryLeaf,","Right after Wilson displayed and beat up Baez nearby","6/20/18","6/20/18",NA,NA,NA,NA,NA,74.7216667867609
"123","Fricka","Female",6.29,"A337","3/27/18","14:12:00",1124,27.677,1.009,2.548,"12/12/11","Izzi","DryLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,18.3513501939336
"124","Fricka","Female",6.32,"A376","4/6/18","12:20:00",1069.6,5.576,1.007,NA,"12/12/11","Izzi","LiveLeaf,","Alone but rejoined party right after (see Cannonball)","6/20/18","6/20/18",NA,NA,NA,NA,NA,17.4978545245013
"125","Fricka","Female",6.37,"A474","4/26/18","13:52:00",605.6,16.982,1.008,NA,"12/12/11","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,9.89733367626887
"126","Fricka","Female",6.43,"A530","5/18/18","14:38:00",1940,49.445,1.018,2.9,"12/12/11","Izzi","LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,31.3940127095006
"127","Frida","Female",9.26,"A492","5/6/18","9:20:00",866.7,16.573,1.009,NA,"2/1/09","Aaron","LiveLeaf,","","6/22/21","11-Dec-19",1,16.573,7,NA,NA,14.1504583746284
"129","Garbo","Female",62.07,"A140","1/26/18","13:45:00",172,0.922,1.01,2.767,"1/1/56","Izzi","DryLeaf,LiveLeaf,","","6/20/18","13-Dec-19",5,0.922,1.2,NA,NA,2.80543332110989
"130","Garbo","Female",62.07,"A140","1/26/18","13:45:00",172,1.144,1.01,2.767,"1/1/56","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,2.80543332110989
"132","Garbo","Female",62.22,"A326A","3/23/18","14:43:00",427.4,3.856,1.017,4.292,"1/1/56","Izzi","DryLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,6.92319306359785
"133","Garbo","Female",62.37,"A525","5/17/18","12:36:00",306.4,7.446,1.006,NA,"1/1/56","Izzi","LiveLeaf,Log,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,5.01745698647621
